,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_6_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_6_TEXT,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q24_7_TEXT,Q25,Q26,Q26_15_TEXT,Q27_2,Q28,Q29,Q29_4_TEXT,Q30,Q31,Q32_16,Q33,Q33_8_TEXT,Q34,Q34_4_TEXT,Q35,Q36,Q36_5_TEXT,Q37,Q38,Q39,Q40,Q41,Q41_6_TEXT,Q42,Q42_1_TEXT
71,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,resources like office hours,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,The courses are too hard,,,,,,,,,,,18,Hispanic or Latino,,Female,,No,Heterosexual/Straight,,No,No,No,"Significant financially insecurity, where money is a significant stress for me,Housing insecurity or homelessness",A mental health condition,,No,
72,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,,Neither welcome nor excluded,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,,,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,"I’m more passionate about a different subject,I have a greater sense of community in my major department",,,,,,,,,,,,Hispanic or Latino,,Female,,No,Bisexual,,No,No,No,"Significant financially insecurity, where money is a significant stress for me","Significant anxiety or depression,ADHD",,No,
73,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,"I just want to add a compliment to the dept. faculty: I've had a lot of health problems interfere with my schooling during my time at SU and teachers have had an incredible degree of patience and understanding while still holding me to the same academic standard as the other students in terms of the quality of my work. That's a really difficult balance to strike when working with a student with a developmental disability. I'm not given grades I don't deserve (I've done poorly when it was fair for me to do so), but I am given tons of opportunities to demonstrate my abilities despite those setbacks and I think that's a credit to this department's ability to work with students on an individual level.",Neither welcome nor excluded,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,,,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Mathematics,,,,No,,,10,Yes,"Mostly, but not totally",,It's not something I have thought about,I would prefer more information on job opportunities,24,White,,Female,,No,Bisexual,,No,No,No,No,"Significant anxiety or depression,A mental health condition,ADHD,An information processing or learning disability,Other (optionally, specify)",Autism,"Yes (optionally, specify)",Only if Jewish students are underrepresented (don't know if they are here)
74,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,,Does not add to my feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,"The courses are too hard,I’m not sure what math majors do after graduation,I’m more passionate about a different subject",,,,,,,,,,,25,Hispanic or Latino,,Female,,No,Heterosexual/Straight,,No,Yes,No,"Significant financially insecurity, where money is a significant stress for me","Significant anxiety or depression,A mental health condition",,Prefer not to answer,
75,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,20,Black or African American,,Female,,No,"I use a term not specified (optionally, specify)",,No,No,No,"Significant financially insecurity, where money is a significant stress for me",None of the above,,No,
76,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,,,,,,,,,,,,,,,No,,,No,,,No,,,No,,,Undeclared major,No,"I haven’t thought enough about it, or I am undecided overall",,,,,,,,,,,19,White,,Male,,No,Asexual,,Yes,No,No,No,None of the above,,No,
77,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Civil & Environmental Engineering,I have considered only minoring in math,"I haven’t thought enough about it, or I am undecided overall,There are more job opportunities in other majors,I’m not sure what math majors do after graduation,I’m more passionate about a different subject",,,,,,,,,,,19,"Asian,White",,Male,,No,Heterosexual/Straight,,No,No,No,No,"A mental health condition,ADHD",,No,
78,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Undeclared major,No,"I haven’t thought enough about it, or I am undecided overall",,,,,,,,,,,18,Asian,,Female,,No,Heterosexual/Straight,,No,No,No,No,,,No,
79,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,,Somewhat excluded,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Adds a lot to my feeling excluded,,No,,,No,,,No,,,No,,,Undeclared major,No,The courses are too hard,,,,,,,,,,,18,"Black or African American,Asian",,Female,,No,Heterosexual/Straight,,No,No,No,"Significant financially insecurity, where money is a significant stress for me","Significant anxiety or depression,A mental health condition,ADHD",,Prefer not to answer,
81,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,,No,,,No,,,No,,,No,,,Undeclared major,No,I’m more passionate about a different subject,,,,,,,,,,,18,Hispanic or Latino,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
82,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,"I think there's not too much collaboration when it comes to group work, but because the assignment is straightforward it's not too big of an issue",Somewhat welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Computer Science,No,I’m more passionate about a different subject,,,,,,,,,,,18,Asian,,Female,,No,Asexual,,No,No,No,No,"A mental health condition,ADHD",,No,
83,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,,,,Does not add to my feeling excluded,Does not add to my feeling excluded,,,,,No,,,No,,,No,,,No,,,Computer Science,No,I’m more passionate about a different subject,,,,,,,,,,,19,White,,Male,,Yes,Bisexual,,No,No,No,No,"Significant anxiety or depression,ADHD",,No,
84,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,No,"The courses are too hard,I’m more passionate about a different subject",,,,,,,,,,,19,Asian,,Female,,No,Asexual,,No,No,No,No,"Significant anxiety or depression,ADHD,An information processing or learning disability",,,
85,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Electrical & Computer Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,17,Asian,,Female,,No,Heterosexual/Straight,,Yes,No,No,No,None of the above,,No,
86,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,No,I’m more passionate about a different subject,,,,,,,,,,,18,White,,Male,,No,Heterosexual/Straight,,No,No,No,No,"Significant anxiety or depression,ADHD",,No,
87,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I just feel like the class went so fast that I couldn't catch enough detail and it hurt my grade in the end. The climate of the class wasn't exactly somewhere that I would like to ask the questions that I have. This is probably because a lot of the other students have already taken a calculus class and are having a much easier time.,Somewhat excluded,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,classmates that are also struggling make me feel more included,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Adds a lot to my feeling excluded,Needing to take more time on math makes me feel excluded,No,,,No,,,No,,,No,,,Undeclared major,No,"The courses are too hard,Something not listed",It simply does not spark my interest.,,,,,,,,,,,White,,Male,,No,Asexual,,No,No,No,No,Significant anxiety or depression,,No,
88,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,,,,,I mean to say no ,No,,,No,,,No,,,Civil & Environmental Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,18,Hispanic or Latino,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
89,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"For commuters like me, the night time in-person study sessions are too inconvenient for me. I would appreciate it if there were more online sessions and/or in-person sessions in the afternoon possibly.",Somewhat excluded,Adds somewhat to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,,,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,No,"The courses are too hard,I’m more passionate about a different subject",,,,,,,,,,,,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,No,Prefer not to answer,,No,
90,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,Yes,I’m more passionate about a different subject,,,,,,,,,,,18,Asian,,Male,,No,Heterosexual/Straight,,Yes,No,No,"Significant financially insecurity, where money is a significant stress for me",None of the above,,"Yes (optionally, specify)",SASA
91,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Neither welcome nor excluded,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Civil & Environmental Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,19,Prefer not to answer,,Male,,No,Heterosexual/Straight,,No,No,No,Prefer not to answer,Prefer not to answer,,Prefer not to answer,
92,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat welcome,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,,,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Civil & Environmental Engineering,No,"The courses are too hard,I’m more passionate about a different subject",,,,,,,,,,,32,White,,Male,,No,Heterosexual/Straight,,No,Yes,Yes,No,A mental health condition,,No,
93,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Computer Science,I have considered only minoring in math,"There are more job opportunities in other majors,I’m more passionate about a different subject",,,,,,,,,,,20,Asian,,Female,,No,Bisexual,,No,No,No,No,Significant anxiety or depression,,"Yes (optionally, specify)",
94,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Physics,Yes,I’m more passionate about a different subject,,,,,,,,,,,19,White,,Male,,No,Heterosexual/Straight,,Yes,No,No,No,None of the above,,No,
95,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,group work,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Adds a lot to my feeling excluded,not understanding some content,No,,,No,,,No,,,No,,,Mechanical Engineering,Yes,"There are more job opportunities in other majors,I’m not sure what math majors do after graduation,I’m more passionate about a different subject",,,,,,,,,,,18,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,No,"Significant anxiety or depression,ADHD",,No,
96,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,,No,,,No,,,No,,,No,,,Electrical & Computer Engineering,I have considered only minoring in math,There are more job opportunities in other majors,,,,,,,,,,,19,Hispanic or Latino,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
97,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Does not add to my feeling included,,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,I have considered only minoring in math,"There are more job opportunities in other majors,I’m more passionate about a different subject",,,,,,,,,,,19,Asian,,Female,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
98,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,,,Rarely,Rarely,,Rarely,Rarely,,No,,,Sometimes,Sometimes,,Computer Science,Yes,Something not listed,"If I'm going into cs, I could get a double major in math, just still think if I would.",,,,,,,,,,18,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,No,Significant anxiety or depression,,No,
99,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Civil & Environmental Engineering,No,"I haven’t thought enough about it, or I am undecided overall",,,,,,,,,,,18,"Asian,White",,Female,,No,Heterosexual/Straight,,No,No,No,No,Prefer not to answer,,No,
100,,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,,,,,,,,,,No,,,No,,,No,,,No,,,Computer Science,I have considered only minoring in math,I’m not sure what math majors do after graduation,,,,,,,,,,,18,Hispanic or Latino,,Female,,No,Bisexual,,No,No,No,Prefer not to answer,Significant anxiety or depression,,Prefer not to answer,
101,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Mathematics,,,,Yes,My interests have changed,,6,Yes,"Mostly, but not totally",,I feel I only have options in academia,I would prefer more information about both,22,"Hispanic or Latino,White",,Female,,No,Prefer not to answer,,No,No,No,No,Prefer not to answer,,Prefer not to answer,
102,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,I have considered only minoring in math,I’m more passionate about a different subject,,,,,,,,,,,18,Black or African American,,Male,,No,Heterosexual/Straight,,Yes,No,No,"Significant financially insecurity, where money is a significant stress for me",,,No,
103,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,When the professors are open to just chat about math or life in general. ,Does not add to my feeling excluded,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,Rarely,Rarely,I feel more comfortable describing it in person rather than through a survey.,No,,,No,,,No,,,"Computer Science,Mathematics",,,,Yes,Coursework not challenging enough,,2,No,"No, not enough (If no, please specify what you would change)",Bimonthly student/faculty lyceums.,I feel I have good options in industry and academia,I would prefer more information about both,19,Prefer not to answer,,Male,,No,Heterosexual/Straight,,No,No,Prefer not to answer,Prefer not to answer,"Significant anxiety or depression,A mental health condition,ADHD",,Prefer not to answer,
104,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Neither welcome nor excluded,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,"Mechanical Engineering,Pre-Engineering, Pre-Science, Pre-Health",No,"The courses are too hard,There are more job opportunities in other majors,I’m more passionate about a different subject",,,,,,,,,,,18,Asian,,Female,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
105,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Mathematics,,,,No,,,2,No,"Yes, almost entirely",,I feel I have good options in industry and academia,Yes,28,"Asian,White",,Male,,No,Heterosexual/Straight,,No,Yes,No,No,A mental health condition,,No,
